type_,address,area,price,metro_station,metro_line,date,update_date,floor,full_floor
2-комн.кв.,"Проспект мира, 188Б к2",34,12600000,ВДНХ м.,orange,Размещено 28 марта,"сегодня, 19:23",2,6
1-комн.кв.,"Германа Титова ул, 8",36,8800000,Станция не указана,Ветка не указана,Размещено 27 марта,"сегодня, 19:23",5,16
2-комн.кв.,"Пестовский пер, 7",74,23000000,Таганская м.,Ветка не указана,Размещено 15 марта,26 марта,1,4
3-комн.кв.,"Нахимовский пр-кт, 28 1",58,24290000,Профсоюзная м.,orange,Размещено 28 марта,29 марта,8,9
3-комн.кв.,"Валовая ул, 8/18",84,35500000,Павелецкая м.,Ветка не указана,Размещено 20 февраля,28 марта,3,11
2-комн.кв.,"Шипиловская ул, 43",50,14150000,Шипиловская м.,lightgreen,Размещено 12 февраля,29 марта,5,16
2-комн.кв.,"Расковой ул, 33 1",35,13500000,Савеловская м.,Ветка не указана,"сегодня, 16:24","сегодня, 16:24",3,5
2-комн.кв.,Щербаковская ул,56,20000000,Семеновская м.,blue,"сегодня, 13:48","сегодня, 13:48",9,12
2-комн.кв.,"Южнобутовская ул, 44",58,14500000,Ул.Горчакова м.,cyan,Размещено 22 марта,26 марта,7,8
1-комн.кв.,"Лукинская ул, 18",36,10250000,Новопеределкино м.,yellow,Размещено 20 марта,28 марта,3,17
2-комн.кв.,"Первомайская ул, 49",61,10800000,Сходненская м.,purple,Размещено 19 марта,26 марта,12,17
1-комн.кв.,"Хлобыстова ул, 12 2",55,11300000,Рязанский пр-т м.,purple,Размещено 9 марта,"сегодня, 00:25",1,16
1-комн.кв.,"Кутузова ул, 11",33,9100000,Молодежная м.,blue,Размещено 7 марта,"сегодня, 00:15",1,14
2-комн.кв.,"Красногвардейская 3-я ул, 8  1",6,18700000,Выставочная м.,lightblue,Размещено 22 февраля,"сегодня, 03:02",1,9
4-комн.кв.,"Одесская ул, 22 1",63,15200000,Каховская м.,turquoise,Размещено 17 февраля,"сегодня, 00:30",1,9
2-комн.кв.,"Байкальская ул, 35  4",76,21000000,Щелковская м.,blue,Размещено 14 февраля,15 февраля,11,11
2-комн.кв.,"Летчика Грицевца ул, 6",55,14500000,Рассказовка м.,yellow,"сегодня, 07:39","сегодня, 07:39",5,14
1-комн.кв.,"Зеленодольская ул, 31 1",60,16700000,Кузьминки м.,purple,Размещено 25 марта,28 марта,7,24
3-комн.кв.,"Ореховый проезд, 41",75,21500000,Шипиловская м.,lightgreen,Размещено 16 марта,"сегодня, 00:18",4,16
2-комн.кв.,"Жигулёвская ул, 10",39,10100000,Кузьминки м.,purple,Размещено 7 марта,28 марта,8,9
2-комн.кв.,"Алтуфьевское ш, 87 3",54,12300000,Алтуфьево м.,gray,Размещено 1 марта,26 марта,2,16
Студия,"Варшавское ш, 60",7,5800000,Нахимовский пр-т м.,gray,Размещено 28 февраля,25 марта,2,6
1-комн.кв.,"Удальцова ул, 12",33,15200000,Пр-т Вернадского м.,Ветка не указана,Размещено 27 февраля,26 марта,8,10
3-комн.кв.,"Сталеваров ул, 8/22 1",51,10700000,Новогиреево м.,yellow,Размещено 21 февраля,"сегодня, 18:17",1,9
